hour,trips,avg_speed
0,727,20.670512110635556
1,514,24.31091421255725
2,365,26.978777674417394
3,260,27.534220359865408
4,198,38.121008452287455
5,206,45.10194775727915
6,458,29.890764622476073
7,780,25.606688188643957
8,979,16.29397549061886
9,1015,15.839088969483816
10,1029,15.809075879705434
11,1084,11.902795697701205
12,1155,13.741337643872436
13,1169,15.29373232480298
14,1230,15.141389171431562
15,1221,7.9424663147385495
16,1144,13.844350347333782
17,1295,15.015843851371397
18,1443,15.2392671434744
19,1383,18.68862264567481
20,1264,27.379932892652132
21,1251,24.454379386620463
22,1181,19.808314281216
23,979,22.39103353650688
